Title,Desc,Time_Prereq
ECON 15510.  An Introduction to Development Economics With a Focus on Data.  100 Units.,"
Why do some countries grow faster than others? Why do children in Vietnam learn twice as much as Peruvian children in a year despite their governments spending similar amounts on education? Why do farmers not adopt new technologies that generate higher yields? What is the most effective way to improve health and women's empowerment in middle and low income countries? We will examine these questions by applying the tools of economics to the best available data. In addition to an introduction to development economics, students will get a grounding in different data analysis techniques and how they are applied in practice. They will learn how to critically evaluate data analysis and spot potential biases: is the outcome variable likely to be subject to reporting bias? is there potential selection bias or attrition bias? What techniques are best adapted to addressing these potential biases in the data? In the final part of the course we will cover the role of the International Financial Institutions (the IMF and World Bank) in international development. The course is designed for undergraduates with a strong interest in economics and data.","
Instructor(s): R. Glennerster     Terms Offered: Winter
Prerequisite(s): Econ 10000/20000/20010 and ECON 10200/20200/20210 and Econ 11020/21020
"
ECON 16020.  Introduction to Public Sector Economics.  100 Units.,"
The course studies public policy issues in the world from both micro- and macroeconomic perspectives. Covered topics include tax, antitrust, and trade policies (micro) as well as fiscal and monetary policies (macro). International case studies will be discussed in comparison to the US experiences (e.g., industrial policies and development in Asia, exchange rate policies in Latin America, the currency union in Europe, and ECB's monetary policy).","
Instructor(s): Staff     Terms Offered: TBD
Prerequisite(s): ECON 10000/19800/20000/20010 and  ECON 10200/19900/20200/20210
Note(s): Students may not receive credit for both ECON 16020 and ECON 26010/ECON 26020. 
"
"ECON 16510.  Water: Economics, Policy and Society.  100 Units.","
Water is inextricably linked to human society. While modern advances in technology and new economic and policy mechanisms have emerged to address water stressors from overconsumption, development pressures, land use changes and urbanization, challenges continue to evolve across the globe. These problems, while rooted in scarcity, continue to become more complex due to myriad human and natural forces. In addition to water quality impairments, droughts and water shortages persist, putting pressure on agricultural production and urban water use, while the increased frequency and severity of rainfall and tropical storms, already being experienced globally, are only projected to grow in intensity and duration under climate change. Students will explore water from the perspective of the social sciences and public policy, with attention on behavioral dimensions of water use and water conservation. Qualitative and quantitative approaches to examining how humans use and affect water will be considered, with particular applications to Chicago and the Great Lakes region.","
Instructor(s): Sabina Shaikh     Terms Offered: Spring
Prerequisite(s): One economics course (ECON 19800, PBPL 20000, ENST 21800 or equivalent)
Note(s): The following courses are recommended prior to enrollment in ENST 21310: ENST/MENG 20300: The Science, History, Policy, and Future of Water
Equivalent Course(s): ENST 21310, GLST 21310, PBPL 21310, CHST 21310, LLSO 21310
"
ECON 16520.  Economics and Environmental Policy.  100 Units.,"
This course combines basic microeconomic theory and tools with contemporary environmental and resources issues and controversies to examine and analyze public policy decisions. Theoretical points include externalities, public goods, common-property resources, valuing resources, benefit/cost analysis, and risk assessment. Topics include pollution, global climate change, energy use and conservation, recycling and waste management, endangered species and biodiversity, nonrenewable resources, congestion, economic growth and the environment, and equity impacts of public policies.","
Instructor(s): S. Shaikh     Terms Offered: Autumn
Prerequisite(s): ECON 19800 or higher, or PBPL 20000
Note(s): Not offered in Autumn of the 2020-21 academic year.
Equivalent Course(s): PBPL 21800, LLSO 26201, ENST 21800
"
"ECON 16530.  Applied Research in Environment, Development and Health.  100 Units.","
This course engages students in collaborative research on topics that connect the environment, health, agriculture and development. After identifying a shared theme, students will design and commence a plan of research with the goal of producing content including reading lists, research and policy briefs, data visualizations, maps, blog posts and web content, as well as creative media such as podcasts. Students will also apply their findings to programming surrounding the Frizzell Speaker and Learning Series for 2020-21 by identifying possible keynote speakers and curating other events. Students are strongly encouraged but not required to enroll in both the autumn and winter courses to gain the full benefit of a sustained research experience.","
Instructor(s): Shaikh, Sabina     Terms Offered: Autumn
Prerequisite(s): This course is open to 3rd and 4th years only. Open to 2nd years with instructor consent.
Equivalent Course(s): GEOG 21710, PBPL 21700, GLST 21700, ENST 21700
"
ECON 16540.  Urban Spaces and Unnatural Disasters: Humans-Nature Connections in Cities.  100 Units.,"
A natural disaster is thought of an event or series of events caused by the Earth's natural forces and processes. These include hurricanes, floods, droughts, wildfires, earthquakes, and other events provoked by the earth's processes. But what about the outcomes of such disasters? How do social, economic and spatial conditions affect the impact of natural disasters on the population? What role do humans play in these events and the outcomes? How does human activity and public policy lead to or mitigate large one-time events like oil spills, as well as chronic conditions like deforestation, pollution, and climate change? Are humans part of the natural system in this context or is the human influence considered ""unnatural""? 
This course explores the human relationship to such disasters, including humans as contributors to the severity and extent of such disasters through energy consumption, land use, public policy and other behaviors, and the response by humans to disasters including mitigation, adaptation, and policy formation and implementation. Students will explore how historic policies both created and mitigated environmental vulnerabilities, and how these risks are distributed across the population. Students will study the role of contemporary human behavior in outcomes related to the environment and natural resources through a series of seminal and current readings, and an independent yet collaborative research project using mixed methods from the social sciences.","
Instructor(s): Sabina Shaikh     Terms Offered: Winter
Prerequisite(s): Must be 3rd or 4th year to enroll
Equivalent Course(s): CHST 21750, PBPL 21750, ENST 21750, GLST 21750
"
ECON 16710.  Education and Economic Development.  100 Units.,"
This course covers policy issues related to education in developing contexts.  We will analyze education policies and reforms, develop skills to be a critical consumer of relevant research on each topic, and examine implications of the findings to policy and practice.  Topics include discrimination and inclusion in education, understanding factors that influence educational decisions, provision of basic needs in schools, teacher pay and incentives, education in emergency settings, and school choice.","
Instructor(s): A. Adukia     Terms Offered: Winter
Prerequisite(s): Recommended prerequisite courses: Microeconomics and econometrics. Students in their last years will be given priority.
Equivalent Course(s): PBPL 28350, EDSO 28350
"
ECON 17100.  Introduction to International Trade.  100 Units.,"
This course covers international economics with an emphasis on international trade. The basic theories of international trade are introduced and used to analyze welfare and distributional effects of international trade, government policies, and technology diffusion. In addition, this course also discusses the main empirical patterns of international trade and international investment.","
Instructor(s): K. Yoshida     Terms Offered: Spring
Prerequisite(s): ECON 10000/19800/20000/20010 and ECON 10200/19900/20200/20210
"
ECON 17110.  International Monetary Systems.  100 Units.,"
This course studies the principles of monetary policy across international markets, global banking markets, and optimum currency areas and their impact on and from business cycles and economic development. Students will be introduced to simplified theoretical models with which to analyze data, relevant empirical findings, and policy decisions. Practice is provided in understanding recent international economic events and current policy topics.","
Instructor(s): G. Pieters     Terms Offered: Autumn
Prerequisite(s): ECON 10200/ECON 19900/ECON 20200/ECON 20210
"
ECON 18010.  Introduction to Managerial Microeconomics.  100 Units.,"
This course presents several classic microeconomic models applicable in business contexts. The topics covered include self-selection, commitment, product differentiation, matching, and mechanism design, among others. The theoretical insights of each model are analyzed. Real-world applicability is discussed using practical examples. Students are required to write short papers applying the models presented in the course to real-world situations in the context of business.","
Instructor(s): P. Pena     Terms Offered: Autumn
Prerequisite(s): ECON 10000 (or ECON 19800)
"
ECON 19000.  Economics for Everyone: Micro.  100 Units.,"
The field of economics has generated a powerful set of insights which have fundamentally shaped the modern world.  Because modern economics puts such a heavy stress on mathematical rigor, the most interesting economic ideas often get pushed to the background.  In this course, we will explore these big economic ideas, without the math.  Our goal is to make the beauty and power of economic thinking available to everyone.  We will discuss what it means to think like an economist, how you can use economic thinking to make the world a better place (or to take advantage of your friends and enemies, if you prefer), and also how sometimes thinking like an economist can get you into trouble.","
Instructor(s): J. List, S. Levitt
Note(s): *This course does not apply toward economics major requirements.
"
ECON 19100.  Economics for Everyone: Macro.  100 Units.,"
This course explores the big ideas in macroeconomics in a way that is enjoyable and accessible, with minimal reliance on mathematics. The goal is to provide an introduction to macroeconomic issues for people who have never before studied macroeconomics (and who might never study it again), so that they can understand and contribute to ongoing discussions in the news and on social media. We will demystify some of the major macroeconomic questions of our times: Why is there unemployment? Why are some countries poor? What's the big deal about government debt? How high should we set taxes? What gives money and stocks their value? What does the Fed do? And why did all those economists win Nobel Prizes? We will show the fun, interesting, and strange sides of macroeconomics.","
Instructor(s): G. Kaplan     Terms Offered: Spring
Note(s): *This course does not apply toward economics major requirements.
"
ECON 20000-20100-20200-20300.  The Elements of Economic Analysis I-II-III-IV.,"
",
ECON 20010-20110-20210.  The Elements of Economic Analysis: Honors I-II-III.,"
The Elements of Economic Analysis: Honors I-II-III",
ECON 20700.  Game Theory and Economic Applications.  100 Units.,"
ECON 20700 or ECON 20770 or ECMA 30770 may be used as an economics elective, but only one may be used toward degree requirements. This course introduces the basic ideas and applications of game theory. Topics include models of games in extensive and strategic form, equilibria with randomization, signaling and beliefs, reputation in repeated games, bargaining games, investment hold-up problems, and mediation and incentive constraints.","
Instructor(s): Staff     Terms Offered: Autumn
Spring
Winter
Prerequisite(s): ECON 20100 (or ECON 10000 for declared business economics specialization). No first-year students. 
"
ECON 21010.  Statistical Methods in Economics.  100 Units.,"
This course provides a solid foundation in probability and statistics for economists. We emphasize topics needed for further study of econometrics in ECON 21020. Topics include elements of probability theory, sampling theory, estimation, hypothesis testing, and an introduction to linear algebra.","
Instructor(s): C. Roark     Terms Offered: TBD
Prerequisite(s): MATH 13300/15300/16300/16310 and ECON 10200/20000/20010 (Standard Economics students should complete the third quarter calculus and ECON 20000/20010 before taking ECON 21010. Students who have declared business economics specialization should complete the third quarter of calculus and at least ECON 10200 before taking ECON 21010.)
"
ECON 21020.  Econometrics.  100 Units.,"
Required of students who are majoring in economics; those students are encouraged to meet this requirement by the end of their third year. This course covers the single and multiple linear regression model, the associated distribution theory, and testing procedures; corrections for heteroskedasticity, autocorrelation, and simultaneous equations; and other extensions as time permits. Students also apply the techniques to a variety of data sets using PCs.","
Instructor(s): Staff     Terms Offered: Autumn
Spring
Winter
Prerequisite(s): ECON 20100/20110; ECON 21010, or STAT 23400/24400/24410 and MATH 19620 (or MATH 20000 or STAT 24300 or MATH 20250)
"
ECON 21030.  Econometrics - Honors.  100 Units.,"
The topics are essentially the same as those covered in ECON 21020, but this foundations course in econometrics gives a more systematic introduction to the application of statistical theory to economic applications. This course is intended for students who are planning to study economics at the graduate level.","
Instructor(s): A. Torgovitsky, P. Hull     Terms Offered: Spring
Winter
Prerequisite(s): ECON 20100/20110, and STAT 24400/24410/24500, and MATH 19620/20250/STAT 24300; or consent of instructor
"
ECON 21031.  Econometrics II-Honors.  100 Units.,"
This course is a continuation of ECON 21030. The topics covered include additional applications of linear regression to descriptive and causal inference. Other topics may include nonlinear models, panel data, quantile regression, time series, the bootstrap, and nonparametric regression. This course is intended for students who are planning to study economics at the graduate level.","
Instructor(s): A. Torgovitsky     Terms Offered: Autumn
Prerequisite(s): ECON 21020/21030
"
ECON 21110.  Applied Microeconometrics.  100 Units.,"
This course will cover a broad set of applications in labor economics, public economics, industrial organization, economics of education, environmental economics, and development economics. There will be a strong focus on how economic theory, institutional details, and experiments can be used to draw causal inferences on economic relationships. There will be emphasis on applying a number of commonly used microeconometric methods to economic data; including the linear regression model, fixed and random effects models, instrumental variables, and discrete choice models. When interpreting the empirical results, we will also discuss the importance of omitted variables bias and measurement error.","
Instructor(s): J. Joensen
Prerequisite(s): ECON 21020 or ECON 21030
"
ECON 21200.  Time Series Econometrics.  100 Units.,"
This course focuses on theory, and covers a broad range of topics, both mathematical and statistical, on stationary time series models in time and frequency domains. The models include ARMA, VAR, ARCH/GARCH and their variants. It also covers nonstationary time series models with unit roots and cointegration, and the theories and methodologies to estimate and test them statistically.","
Instructor(s): Staff     Terms Offered: TBD
Prerequisite(s): ECON 20200/20210 and ECON 21020/21030
"
ECON 21300.  Data Construction and Interpretation in Economic Applications.  100 Units.,"
In this course we will explore the process of extracting insights from real-world data. What can one learn from a particular data set? How do you know what sets of tools will be ""right"" for the job? How can you increase your degree of confidence that the inferences you are drawing are correct? How can you best communicate the insights you glean from the data? Unlike standard econometrics courses, this class emphasizes hands-on work with actual data sets rather than the development of sophisticated tools and techniques (which are also useful, you just won't learn them here!).","
Instructor(s): S. Levitt     Terms Offered: TBD
Prerequisite(s): ECON 10000/19800/20000/20010 and STAT 22000/23400/24400 (or ECON 21010)
"
ECON 21410.  Computational Methods in Economics.  100 Units.,"
This course introduces the empirical and computational techniques necessary for numerical estimation and simulation in economics. Through examples in economics, the course covers topics such as optimization, function approximation, and monte carlo techniques. Emphasis will be placed on developing effective programming and research practices. The course is structured through a series of applications in such topics as segregation, occupational choice, and repeated games. The course will be taught in R and STATA. Though helpful, no previous experience with R or STATA is required.","
Instructor(s): Staff     Terms Offered: TBD
Prerequisite(s): ECON 20100/20110 and ECON 21020/21030
"
ECON 21730.  Applied Behavioral Economics.  100 Units.,"
This class covers recent work in behavioral economics. Topics include discrimination, social pressure, social norms, identity and gender. Applications will cover a wide range of fields, including labor economics, finance, and political economy.","
Instructor(s): L. Bursztyn     Terms Offered: Winter
Prerequisite(s): ECON 20100 and ECON 21020 (or ECON 21030).
"
ECON 21740.  Behavioral Economics and Experiments.  100 Units.,"
This is a hands-on course in behavioral economics. Basic concepts of preferences, traits, and behavioral biases are reviewed that link economics and psychology. Methods for eliciting traits and preferences will be taught and implemented in actual lab experiments. Grade will be determined by reports and quality of lab work.","
Instructor(s): J. Heckman     Terms Offered: TBD
Prerequisite(s): ECON 10000/19800/20000/20010 AND STAT 22000/23400/24300/24400/24410/ECON 21010 (Lab students require one economics course.)
"
ECON 21800.  Experimental Economics.  100 Units.,"
This course provides the necessary tools to be an avid consumer of the experimental literature and instructs students on how to become a producer of that literature. Topics include a summary of recent experimental findings and details on how to gather and analyze data using experimental methods.","
Instructor(s): Staff     Terms Offered: TBD
Prerequisite(s): ECON 20100/20110 and ECON 21020 (or ECON 21030); ECON 10000 for declared business economics students. No first-year students.
"
ECON 21830.  Social Neuroscience.  100 Units.,"
Social species, by definition, create emergent organizations beyond the individual - structures ranging from dyads and families to groups and cultures. Social neuroscience is the interdisciplinary field devoted to the study of neural, hormonal, cellular, and genetic mechanisms, and to the study of the associations and influences between social and biological levels of organization.
The course provides a valuable interdisciplinary framework for students in psychology, neuroscience, behavioral economics, and comparative human development. Many aspects of social cognition will be examined, including but not limited to attachment, attraction, altruism, contagion, cooperation, competition, dominance, empathy, isolation, morality, and social decision-making.","
Instructor(s): J. Decety     Terms Offered: Autumn
Equivalent Course(s): HLTH 22350, BIOS 24137, NSCI 21000, CHDV 22350, PSYC 22350
"
ECON 22410.  UChicago Economics: The People and the Seminal Ideas.  100 Units.,"
Econ 24720 or Econ 22410 may be used as an economics elective, but only one of the two may be used toward economics major requirements. This course will trace in general the history and evolution of economic thought as an intellectual discipline, from the Middle Ages through Adam Smith and the Classical dominance in the 18th and 19th centuries, to the neoclassical period and alternative schools, and then the rise of Keynesian economics and the emergence of the Chicago School of economics in the 20th century. With this background and context, the focus will turn to the theoretical and empirical contributions of important historical UChicago figures such as Veblen, Knight, Hayek, Friedman, Stigler, Coase and Becker as well as the seminal ideas of contemporary scholars, including several Nobel laureates, in the Department, other academic units on campus, and economists elsewhere with deep Chicago roots.","
Instructor(s): A. Sanderson and Staff     Terms Offered: TBD
Prerequisite(s): ECON 20200/20210. Third- or fourth-year standing.
"
ECON 23000.  Money and Banking.  100 Units.,"
This course covers economic theories and topical issues in money and banking. We discuss such ""traditional"" topics as the quantity theory, the Phillips curve, and the money creation process. We also investigate models of bank runs and financial crises, the tradeoff between rules and discretion, and the New Macroeconomic Synthesis of New Classical. Other topics include New Keynesian approaches to modeling money and monetary policy, practical and institutional issues in European and U.S. monetary policy, and the 2008 financial crisis.","
Instructor(s): H. Uhlig     Terms Offered: Winter
Prerequisite(s): ECON 20200 (or ECON 20210); ECON 21020 and ECON 23950 are strongly recommended.
"
ECON 23200.  Topics in Macroeconomics.  100 Units.,"
This course focuses on the use of dynamic general equilibrium models to study questions in macroeconomics. Topics include long-run growth and dynamic fiscal policy (Ricardian equivalence, tax smoothing, capital taxation), labor market search, industry investment, and asset pricing. On the technical side, we cover basic optimal control (Hamiltonians) and dynamic programming (Bellman equations).","
Instructor(s): N. Stokey     Terms Offered: Autumn
Prerequisite(s): ECON 20200 (or ECON 20210) and MATH 20300 (or MATH 20310 or MATH 20700)
"
ECON 23410.  Economic Growth.  100 Units.,"
The process of economic growth and the sources of differences in economic performance across nations are some of the most interesting, important and challenging areas in modern social science. You cannot travel or read the news without wondering why differences in standards of living among countries are so large. The primary purpose of this course is to introduce undergraduate students to these major issues and to the theoretical tools necessary for studying them. The course therefore strives to provide students with a solid background in dynamic economic analysis, as well as empirical examples and data analysis. We will cover models at an abstract and advanced level. You must have the degree of mathematical maturity associated with the concepts of functions, derivatives, integrals, Taylor series, optimization, ordinary differential equations. Some basic knowledge on regression analysis is also required.","
Instructor(s): U. Akcigit     Terms Offered: Winter
Prerequisite(s): ECON 20200 (or ECON 20210) and ECON 21020 (or ECON 21030)
"
ECON 23950.  Economic Policy Analysis.  100 Units.,"
Building on the tools and methods that are developed in the core courses, this course analyzes fiscal and monetary policy and other topical issues. We use both theoretical and empirical approaches to understand the real-world problems.","
Instructor(s): Staff     Terms Offered: Autumn
Spring
Prerequisite(s): ECON 20200/20210; ECON 21020 or 21030 strongly recommended.
Note(s): This course does not apply toward the economics major elective requirement. Students may not receive credit for both Econ 13000 and Econ 23950 toward the 42 degree credits. 
"
ECON 24000.  Labor Economics.  100 Units.,"
Topics include the theory of time allocation, the payoffs to education as an investment, detecting wage discrimination, unions, and wage patterns. Most of the examples are taken from U.S. labor data, although we discuss immigration patterns and their effects on U.S. labor markets. Some attention is also given to the changing characteristics of the workplace.","
Instructor(s): Staff     Terms Offered: TBD
Prerequisite(s): ECON 20100 and ECON 21020 (or ECON 21030)
"
"ECON 24450.  Inequality and the Social Safety Net: Theory, Empirics, and Policies.  100 Units.","
This course will introduce students to key economic and conceptual issues surrounding inequality and the social safety net. We will study the theoretical underpinnings and empirical analysis of the social safety net, focusing on the effects of social insurance and public assistance programs on individual and societal outcomes. After studying models of the insurance-incentive tradeoff, we will apply these models and econometric strategies to the empirical analysis of social safety net programs. We will study how social safety net programs interact with labor markets, specifically human capital investment and work decisions, and how they affect long-term outcomes such as income, health, well-being, and inequality. Students will learn how to analyze the tradeoffs involved in social safety net programs and will learn the current state of evidence on these programs.","
Instructor(s): M. Deshpande     Terms Offered: Spring
Prerequisite(s): ECON 20100 and ECON 21020 or ECON 21030
"
"ECON 24720.  Inequality:  Origins, Dimensions, and Policy.  100 Units.","
For the last four decades, incomes in the United States and across the globe have grown more unequal. That fact has attracted worldwide attention from scholars, governments, religious figures, and public intellectuals. In this interdisciplinary course, participating faculty members drawn from across the University and invited guest speakers will trace and examine the sources and challenges of inequality and mobility in many of its dimensions, from economic, political, legal, biological, philosophical, public policy, and other perspectives.  This course is part of the College Course Cluster program: Inequality.","
Instructor(s): A. Sanderson and Staff     Terms Offered: TBD
Prerequisite(s): Third- or fourth-year standing
Note(s): ECON 24720 or ECON 22410 may be used as an Economics elective, but only one of the two may be used toward Economics major requirements.
Equivalent Course(s): BPRO 28900, PBPL 28920
"
ECON 25000.  Introduction To Finance.  100 Units.,"
This course develops the tools to quantify the risk and return of financial instruments. These are applied to standard financial problems faced by firms and investors. Topics include arbitrage pricing, the capital asset pricing model, and the theory of efficient markets and option pricing.","
Instructor(s): Staff     Terms Offered: Winter
Prerequisite(s): ECON 20200/20210 and ECON 21020 (or ECON 21030)
"
ECON 25100.  Financial Economics; Speculative Markets.  100 Units.,"
This course focuses on the description, pricing, and hedging of basic derivative claims on financial assets. We study the characteristics, uses, and payoffs of a variety of contracts where the underlying claims include commodities, foreign currencies, bonds, stocks, or stock indices. We examine contracts such as options, swaps, and futures contracts. We use a unified approach (the technique of portfolio replication) to study pricing of these claims. Students also gain an understanding of strategies for hedging of the risks inherent in holding these derivative claims.","
Instructor(s): F. Alvarez     Terms Offered: Spring
Prerequisite(s): ECON 20100/20110 and STAT 23400/24400/24410/ECON 21010
"
